Subcategory,Name,Address1,Address2,City,State,Zip,Email,Phone,FAX,OccupancyType,OccupancyNotes,MapPage,FireAlarmPanelLoc,MasterKeyLoc,BuildingHeight,NumberOfFloors,BasementPresent,Width,Length,SquareFeet,GasLPGShutoffLoc,ElectricalPanelLoc,FDConnections,SprinklerRoomLoc,OtherLocInfo,WaterSupplyInfo,ExposureInfo,HazMat,BuildingAccess,AccessProblems,VentilationProblems,TimeNormallyOccupied,PrePlanNotes,UserOccupancyID,LicenseNumber,NumberOfUnits,OccupancyLoad,UBCode,NFPACode,IBCode,AssessorParcelNumber,NumberMilepost,StreetPrefixDirection,StreetOrHighwayName,StreetType,StreetSuffix,AptOrSuite,ISOID,Latitude,CriticalInfrastructure,BuildingNumber,YearBuilt,Longitude,NFIRSPropertyUse,AssessedValue,NationalGrid,UtilityBillingNumber,RoofTypeId,RoofMaterialId,RoofConstructionId,ConstructionTypeId,StationID,DispatchID,Population DensityID
A3 Worship and Recreation,Bethel Apostolic Church of Jesus Christ,1125 N Sheridan RD,,Peoria,IL,61614,Ladymaxi57@yahoo.com,,,A-3 Churches,,,,,,,,,,,,,,,,,,,,,,,,50585,,,,,,,,1125,N,Sheridan,RD,,,,40.7020556,,,,-89.6039782,130,0,,,,,,Non-Combustible (All Metal) Class II,1,,
A3 Worship and Recreation,Bethel united methodist church,210 Richard Pryor PL,,Peoria,IL,61605,,3096767321,,A-3 Churches,,,,,,1,,0,0,20000,,,,,,,,,,,,,,1642,,,,,,,,210,,Richard Pryor,PL,,,,40.6907372,,,,-89.6031402,131,0,,,,,,,,,
A2 Food and Drink (Liquor Lic.),"Biaggi""s",2601 W Lake AVE,,Peoria,IL,61614,,,,A-2 Restaurants,,1305,,,,1,,,,6000,,,,,,,,,,,,,,45287 - 7,,,,,,,,2601,W,Lake,AVE,,,,40.7406743,,,,-89.6344525,161,0,,,,,,Non-Combustible (All Metal) Class II,13,,
A2 Food and Drink (Liquor Lic.),Big Al's Speak Easy,400 SW Jefferson AVE,,Peoria,IL,61605,,,,A-2 Night Clubs,,,,,,2,1,0,0,75000,,,,,,,,,,,,,,15425,,,,,,,,400,SW,Jefferson,AVE,,,,40.6899271,,,,-89.5945794,162,0,16T BL 8076 0757,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,"Steel, Open Web",Non-Combustible (All Metal) Class II,1,,
A2 Food and Drink,Big O's Barbeque ,3901 SW Adams ST,,Peoria,IL,61605,,,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,485628,,,,,,,,3901,SW,Adams,ST,,,,40.663981,,,,-89.631457,161,0,,,,,,Wood Frame Class V,1,,
A2 Food and Drink (Liquor Lic.),Blondies,619 W Main ST,,Peoria,IL,61606,,,,A-2 taverns and Bars,,315,,,,2,1,0,0,1085,,,,,,,,,,,,,,8273,,,49,,,,,619,W,Main,ST,,,,40.699836,,,,-89.6029259,162,0,16T BL 8008 0869,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,Rafter/Joist Construction,Wood Frame Class V,3,,
A2 Food and Drink (Liquor Lic.),Blue Duck Barbeque Tavern,212 SW Water,,Peoria,IL,61602,,981-5801,,A-2 taverns and Bars,,,,,,,,,,,,,,,,,,,,,,,,22615 - 2,,,,,,,,212,SW,Water,,,,,40.6883979,,,,-89.5892891,161,0,,,,,,Wood Frame Class V,,,
A2 Food and Drink (Liquor Lic.),Blue Margarita's Mexican Bar & Grill,9010 N Allen RD,,Peoria,IL,61615,,309-966-0783,,A-2 Restaurants,,2024,,,30,1,0,0,0,4600,,,,,,,,,,,,,,50495,,,165,,,,,9010,N,Allen,RD,,,,40.79726,,,,-89.6295477,161,0,16T BL 7816 1957,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,Rafter/Joist Construction,Ordinary (Joisted Masonry) Class III,20,,
A2 Food and Drink (Liquor Lic.),Bogies Bar & Grill,3000 N Sterling AVE,,Peoria,IL,61604,,,,A-2 Restaurants,,1317,,,,1,1,0,0,9000,,,,,,,,,,,,,,22889,,,200,,,,,3000,N,Sterling,AVE,,,,40.7240986,,,,-89.6315145,161,0,16T BL 7775 1146,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,"Steel, Open Web",Wood Frame Class V,13,,
A4 Indoor Sporting Events,Boys & Girls Club of Greater Peoria,2703 W Grinnell ST,,Peoria,IL,61605,,,,A-3 Community Halls,,,,,,,,,,,,,,,,,,,,,,,,10016,,,,,,,,2703,W,Grinnell,ST,,,,40.6689425,,,,-89.6358941,,0,,,,,,,,,
A5 Outdoor Sporting Events,Bradley University,816 N Tobias LN,,Peoria,IL,61606,,,,A-5,,,,,,,,,,,,,,,,,,,,,,,,50598,,,,,,,,816,N,Tobias,LN,,,,40.6982266,,,,-89.6173309,123,0,,,,,,,3,,
A1 Theaters / Performing Arts,BRANDED COUNTRY WEAR,4923 N SHERIDAN,,PEORIA,IL,61614,BRANDEDCOUNTRYWEAR@GMAIL.COM,3096898372,,M- Retail or Wholesale Stores,,,BACK ROOM,,,1,0,0,0,1200,,BACK ROOM,,,,,,,,NONE,,DAYTIME HOURS,,,,1,,,,,,4923,N,SHERIDAN,,,,,40.7478498,,,,-89.6034558,580,0,,,"Flat - Contains no slope, may or may not have eaves",,,Ordinary (Joisted Masonry) Class III,16,,Suburban
A2 Food and Drink (Liquor Lic.),Brasky's,9901 N Knoxville AVE,,Peoria,IL,61603,,,,A-2 Restaurants,,,,,30,1,,0,0,2532,,,,,,,,,,,,,,46420,,,90,,,,,9901,N,Knoxville,AVE,,,,40.8073921,,,,-89.6128449,160,0,16T BL 7960 2066,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,Rafter/Joist Construction,Ordinary (Joisted Masonry) Class III,20,,
A2 Food and Drink (Liquor Lic.),Broken Tree Coffee,700 W Main ST,,Peoria,IL,61606,,,,A-2 taverns and Bars,,315,,,,2,1,0,0,2400,,,,,,,,,,,,,,5448,,,,,,,,700,W,Main,ST,,,,40.6995125,,,,-89.603871,161,0,16T BL 8000 0866,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,"Steel, Open Web",Ordinary (Joisted Masonry) Class III,3,,
A2 Food and Drink (Liquor Lic.),Buffalo Wild Wings Grill & Bar,5121 W American Prairie DR,,Peoria,IL,61615,bww3174@worldwidewingsus.com,,,A-2 Restaurants,,1602,front door,,30,1,0,0,0,5000,,,,,,,,,,,,,,25047,,,295,,,,,5121,W,American Prairie,DR,,,,40.7828046,,,,-89.6734027,161,0,16T BL 7441 1808,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,Rafter/Joist Construction,Non-Combustible (All Metal) Class II,19,,
A2 Food and Drink,Burber King,9111 N Allen RD,,Peoria,IL,61615,,309-692-2994,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,485559,,,10,,,,,9111,N,Allen,RD,,,,40.7985321,,,,-89.6319428,161,0,16T  BL  7796  1972,,,,,Wood Frame Class V,20,,
A2 Food and Drink (Liquor Lic.),Burger Barge III,714 W Lake AVE,,Peoria,IL,61614,,,,A-2 Restaurants,,,,,,1,,0,0,3000,,,,,,,,,,,,Day evening,,46015,,,,,,,,714,W,Lake,AVE,,,,40.7391642,,,,-89.6035474,161,0,,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,"Steel, Open Web",Wood Frame Class V,11,,
A2 Food and Drink,Burger King,1715 N Knoxville AVE,,Peoria,IL,61603,,,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,14336,,,,,,,,1715,N,Knoxville,AVE,,,,40.708346,,,,-89.594419,161,0,,,,,,Ordinary (Joisted Masonry) Class III,1,,
A2 Food and Drink,Burger King #16027,3129 N University ST,,Peoria,IL,61604,,309-686-7139,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3129,N,University,ST,,,,40.7267647,,,,-89.6132261,161,0,16T  BL  7930  1171,,,,,Wood Frame Class V,11,,
A1 Theaters / Performing Arts,Burlington Coat Factory,4100 W Willow Knolls DR,,Peoria,IL,61615,,(309) 683-3599,,M- Department Stores,,,,,,,,,,,,,,,,,,,,,,,,49266 - 8,,,,,,,,4100,W,Willow Knolls,DR,,,,40.7722244,,,,-89.6559316,,0,,,,,,Non-Combustible (All Metal) Class II,19,,
A1 Theaters / Performing Arts,Carla C Couri LTD,4408 N Knoxville AVE #D,,Peoria,IL,61614,,,,B- Business,Out Of Business,,,,,,,,,,,,,,,,,,,,,,,44852 - 1,,,,,,,,4408,N,Knoxville,AVE,,D,,40.7403236,,,,-89.5923428,342,0,16T  BL  8111  1316,,,,,Ordinary (Joisted Masonry) Class III,10,,
A2 Food and Drink (Liquor Lic.),Castle's Patio INN,802 W Loucks AVE,,Peoria,IL,61604,BCastle518@comcast.net,685.957,,A-2 taverns and Bars,,1108,,,,1,0,0,0,1000,,,,,,,,,,,,,,8246,,,48,,,,,802,W,Loucks,AVE,,,,40.720626,,,,-89.6052902,162,0,16T BL 7995 1101,,,,,Ordinary (Joisted Masonry) Class III,11,,
A1 Theaters / Performing Arts,Caterpillar,211 Fulton #500,,Peoria,IL,61602,,,,"B- Professional Services (Architects,Attys., MD,Dentists)",,,,,,,,,,,,,,,,,,,,,,,,45168,,,,,,,,211,,Fulton,,,500,,40.6902807,,,,-89.5908378,599,0,,,,,,,,,
A2 Food and Drink,Catholic Charities,1825 NE Adams ST,,Peoria,IL,61603,,309-671-1550,,A-2 Restaurants,,,,,16,1,no,0,0,5000,,,,,,,,,,,,,,15367,,,90,,,,,1825,NE,Adams,ST,,,,40.705522,,,2017,-89.568669,160,0,,,"Flat - Contains no slope, may or may not have eaves",Metal,"Steel, Open Web",Non-Combustible (All Metal) Class II,12,,
A1 Theaters / Performing Arts,Catholic Diocese,600 NE Monroe ST,,Peoria,IL,61603,,,,R-2 Convents,,,,,,1,0,0,0,2800,,,,,,,,,,,,,,12658,,,,,,,,600,NE,Monroe,ST,,,,40.6985091,,,,-89.5861597,429,0,16T  BL  8150  0850,,Hip - sloping planes of the same pitch on four sides,Fiberglass Shingles,"Wood, Open Web",Ordinary (Joisted Masonry) Class III,1,,Suburban
A3 Worship and Recreation,Catholic Diocese,607 NE Madison AVE,,Peoria,IL,61603,,309-677-7652,,A-3 Churches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,NE,Madison,AVE,,,,40.6983897,,,,-89.5850806,131,0,,,,,,Ordinary (Joisted Masonry) Class III,1,,
A1 Theaters / Performing Arts,Champion Manufacturing Industries,6021 N Galena RD,,Peoria,IL,61614,,,,F-2 Factory Low hazard,Out Of Business,,,,,,,,,,,,,,,,,,,,,,,485642,,,,,,,,6021,N,Galena,RD,,,,40.760028,,,,-89.567605,700,0,16T  BL  8326  1529,,,,,Wood Frame Class V,12,,
A1 Theaters / Performing Arts,CHARMAINES PET SPA,5901 N Prospect RD #1,,Peoria,IL,61614,cmorris2979@gmail.com,3092221147,,B- Business,,1645,,,,1,,,,0,,,,,,,,,,,,,,50591 - 8,,1,,,,,,5901,N,Prospect,RD,,1,,40.7585082,,,,-89.5918501,,0,16T BL 8128 1503,,,,,Wood Frame Class V,16,,
A2 Food and Drink,Chicago Grill,814 W Pioneer PKY,,Peoria,IL,61615,,309-690-4745,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,485636,,,,,,,,814,W,Pioneer,PKY,,,,40.7832542,,,,-89.6037099,519,0,16T  BL  8029  1795,,,,,Ordinary (Joisted Masonry) Class III,15,,
A3 Worship and Recreation,Child Evangelism Fellowship,708 E Archer AVE,,Peoria,IL,61603,,,,A-3 Churches,,,,,25,1,1,0,0,5000,,,,,,,,,,,,,,47758,,,,,,,,708,E,Archer,AVE,,,,40.7166457,,,,-89.586148,130,0,,,,,,Wood Frame Class V,10,,
A2 Food and Drink,Childer's Eatery,3312 N University ST,,Peoria,IL,61614,,688-1332,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,1472,,,,,,,,3312,N,University,ST,,,,40.7280073,,,,-89.6123145,161,0, 16T  BL  7938  1184,,,,,Wood Frame Class V,,,
A2 Food and Drink (Liquor Lic.),Childers Eatery,5805 N Humboldt AVE #5,,Peoria,IL,61614,,309 966-4035,,A-2 Restaurants,Hours 6am-3pm,,,,,1,,0,0,3500,,,,,,,,,,,,,,485417,,,200,,,,,5805,N,Humboldt,AVE,,5,,40.7573178,,,,-89.598373,161,0,16T BL 8066 1506,,Mansard - two sloping planes of different pitch on each of four sides,Fiberglass Shingles,Rafter/Joist Construction,Wood Frame Class V,16,,
A2 Food and Drink (Liquor Lic.),Chili's Grill & Bar,4825 N University ST,,Peoria,IL,61614,,,,A-2 Restaurants,,,,,,1,0,0,0,5800,,,,,,,,,,,,,,8988,,,244,,,,,4825,N,University,ST,,,,40.7465247,,,,-89.6131118,161,0,16T BL 7938 1390,,Gable - two sloping planes of the same pitch on each side,Fiberglass Shingles,Rafter/Joist Construction,Wood Frame Class V,11,,
A2 Food and Drink,China Express,1905 N Knoxville AVE,,Peoria,IL,61603,,,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,485634,,,,,,,,1905,N,Knoxville,AVE,,,,40.7105501,,,,-89.594306,161,0,16T  BL  8085  0986,,,,,Ordinary (Joisted Masonry) Class III,1,,
A2 Food and Drink (Liquor Lic.),Chipotle Mexican Grill,4512 N Sterling AVE,,Peoria,IL,61604,,,,A-2 Restaurants,,,,,,1,,,,2500,,,,,,,,,,,,,,,,,80,,,,,4512,N,Sterling,AVE,,,,40.7430752,,,,-89.6311485,161,0,,,,,,Wood Frame Class V,13,,
A2 Food and Drink (Liquor Lic.),Chuck E Cheese's #360,2601 W Lake AVE,,Peoria,IL,61614,,,,A-2 Restaurants,,1305,,,,,,,,,,,,,,,,,,,,,,45287 - 1,,,,,,,,2601,W,Lake,AVE,,,,40.7406743,,,,-89.6344525,,0,,,,,,Non-Combustible (All Metal) Class II,13,,
A2 Food and Drink,Church's Chicken,500 S Western AVE,,Peoria,IL,61605,,309-637-3376,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,884,,,,,,,,500,S,Western,AVE,,,,40.6828473,Agriculture/Food,,,-89.6226245,161,0,16T  BL  7836  0685,,,,,Wood Frame Class V,4,,
A2 Food and Drink (Liquor Lic.),City Heat,2248 W Glen AVE,,Peoria,IL,61614,,691.7444,,A-2 taverns and Bars,,1303,,,,1,,0,0,1200,,,,,,,,,,,,,,18371,,,80,,,,,2248,W,Glen,AVE,,,,40.7468945,,,,-89.6294764,162,0,16T BL 7800 1398,,,,,Wood Frame Class V,13,,
A2 Food and Drink (Liquor Lic.),Club Envy,1412 SW Jefferson,,Peoria,IL,61605,,309-839-2145,,A-2 Night Clubs,,,,,,1,,,,3700,,,,,,,,,,,,,,16754,,,285,,,,,1412,SW,Jefferson,,,,,40.6822807,,,,-89.6066478,162,0,16T BL 7971 0675,,,,,Wood Frame Class V,8,,
A2 Food and Drink (Liquor Lic.),Cody's Castle,1100 Greenlawn AVE,,Peoria,IL,61605,,,,A-2 taverns and Bars,,,,,30,2,1,0,0,1600,,,,,,,,,,,,,,5052,,,40,,,,,1100,,Greenlawn,AVE,,,,40.6757652,,,,-89.6216757,162,0,16T BL 7842 0607,,Gambrel - two sloping planes of different pitch on both sides,Fiberglass Shingles,Rafter/Joist Construction,Ordinary (Joisted Masonry) Class III,4,,
A1 Theaters / Performing Arts,Coldwell Banker,3300 W Willow Knolls DR,,Peoria,IL,61615,,,,B- Business,,,,,,,,,,,,,,,,,,,,,,,,485588 - 1,,,,,,,,3300,W,Willow Knolls,DR,,,,40.774843,,,,-89.644298,599,0,,,,,,Wood Frame Class V,19,,
A2 Food and Drink (Liquor Lic.),Coles Corner Tap,1227 NE Adams ST,,Peoria,IL,61603,,309 494-6116,,A-2 taverns and Bars,,112,,,,2,,0,0,1500,,,,,,,,,,,,,,11661,,,65,,,,,1227,NE,Adams,ST,,,,40.701097,,,,-89.575487,162,0,16T BL 8214 0867,,Gable - two sloping planes of the same pitch on each side,Fiberglass Shingles,Rafter/Joist Construction,Wood Frame Class V,12,,
A1 Theaters / Performing Arts,Common Place Family Learning Center,505 S Shelley ST,,Peoria,IL,61605,,309-676-3315,,A-3 Community Halls,,,,,,,,,,,,,,,,,,,,,,,,40176,,,,,,,,505,S,Shelley,ST,,,,40.6829003,,,,-89.6172588,,0,,,,,,,4,,
A1 Theaters / Performing Arts,Common Place Family Learning Center,507 S Shelley ST,,Peoria,IL,61605,,309-674-3315,,A-3 Community Halls,,,,,,,,,,,,,,,,,,,,,,,,25960,,,,,,,,507,S,Shelley,ST,,,,40.6827761,,,,-89.6172677,,0,,,,,,,4,,
A2 Food and Drink (Liquor Lic.),Connected,3218 N Dries LN,,Peoria,IL,61604,,,,A-2 Restaurants,,1106,,,,2,0,0,0,5000,,,,,,,,,,,,Day evening,,45003,,,245,,,,,3218,N,Dries,LN,,,,40.72697,,,,-89.615905,161,0,16T BL 7908 1174,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,"Wood, Open Web",Wood Frame Class V,11,,
A2 Food and Drink,Core Life Eatery,5040 N Big Hollow RD,,Peoria,IL,61615, corelifeeatery.com, 643-6364,,A-2 Restaurants,,1302,N/a,Front door,20,1,No,40,55,2200,C side,,,,,,,,,,,,,108107,,,98,,,,,5040,N,Big Hollow,RD,,,,40.7501085,,,2017,-89.6342863,161,0,16T BL 7760 1435,,,,,Wood Frame Class V,16,,
A3 Worship and Recreation,Cornerstone Gospel Church,312 Sanger ST,,Peoria,IL,61605,,,,A-3 Churches,,,,,,,,,,,,,,,,,,,,,,,,39565,,,,,,,,312,,Sanger,ST,,,,40.6729802,,,,-89.6197232,131,0,,,,,,,4,,
A1 Theaters / Performing Arts (Liquor Lic.),Cornstock ,1700 N Park RD,,Peoria,IL,61604,,,,A-1 Theaters,,,,,,,,,,,,,,,,,,,,,,,,108106,,,,,,,,1700,N,Park,RD,,,,40.7078699,,Office Storage,,-89.6254581,181,0,16T BL 7821 0964,,,,,,3,,
A1 Theaters / Performing Arts (Liquor Lic.),Cornstock ,1700 N Park RD,,Peoria,IL,61604,,,,A-1 Theaters,,,,,,,,,,,,,,,,,,,,,,,,108106 - 2,,,,,,,,1700,N,Park,RD,,,,40.7078699,,Rehersal Center,,-89.6254581,181,0,16T BL 7821 0964,,,,,,3,,
A1 Theaters / Performing Arts (Liquor Lic.),Cornstock ,1700 N Park RD,,Peoria,IL,61604,,,,A-1 Theaters,,,,,,,,,,,,,,,,,,,,,,,,108106 - 3,,,,,,,,1700,N,Park,RD,,,,40.7078699,,Cornstock Tent,,-89.6254581,181,0,16T BL 7821 0964,,,,,,3,,
A1 Theaters / Performing Arts (Liquor Lic.),Cornstock ,1700 N Park RD,,Peoria,IL,61604,,,,A-1 Theaters,,,,,,,,,,,,,,,,,,,,,,,,108106 - 4,,,,,,,,1700,N,Park,RD,,,,40.7078699,,Box Office,,-89.6254581,181,0,16T BL 7821 0964,,,,,,3,,
