feature_ID,lower_PIN,PIN,owner_middleinitial,owner_name,owner_address,owner_address2,owner_city,owner_state,street_number,street_directionality,street_name,street_type,full_address,city,state,zipcode,tax_code,first_name,last_name,firestation,firezone
1944,1809258004,1809258004, ,CATERPILLAR INC,ATTN CORPORATE TAX,100 NE ADAMS ST,PEORIA,IL,330,SW,ADAMS,ST,330 SW ADAMS ST,PEORIA,IL,61602,44, ,CATERPILLAR INC,1,102
1945,1809426006,1809426006, ,RIVER STATION LLC,C/O KERMIT A HUBER,P O BOX 5605,PEORIA,IL,212,SW,WATER,ST,212 SW WATER ST,PEORIA,IL,61602,27, ,RIVER STATION LLC,1,102
1947,1809255006,1809255006, ,AMEREN ILLINOIS COMPANY,P O BOX 66149 MC 210, ,SAINT LOUIS,MO,300, ,LIBERTY,ST,300 LIBERTY ST,PEORIA,IL,61602,123, ,AMEREN ILLINOIS COMPANY,1,102
1948,1809254013,1809254013, ,"SENN, RONALD ANTHONY",365 MCMULL DR, ,WAYNE,PA,301,SW,ADAMS,ST,301 SW ADAMS ST,PEORIA,IL,61602,44,RONALD ANTHONY,SENN,1,102
1951,1809405001,1809405001, ,COUNSELING & FAMILY SERVICES INC,330 SW WASHINGTON ST, ,PEORIA,IL,330,SW,WASHINGTON,ST,330 SW WASHINGTON ST,PEORIA,IL,61602,27, ,COUNSELING & FAMILY SERVICES INC,1,102
1956,1809259007,1809259007, ,ANCHOR GROUP INC,C/O DAVID L BIELFELDT - PRESIDENT,4700 N PROSPECT RD,PEORIA HEIGHTS,IL,202, ,LIBERTY,ST,202 LIBERTY ST,PEORIA,IL,61602,27, ,ANCHOR GROUP INC,1,102
1957,1809255009,1809255009, ,CIVIC CENTER LLC,3555 W PETERSON AVE,STE 210,CHICAGO,IL,331, ,FULTON,ST,331 FULTON ST,PEORIA,IL,61602,123, ,CIVIC CENTER LLC,1,102
1958,1809255008,1809255008, ,COMMUNITY COLLEGE DISTRICT #514,ADMINISTRATION AND FINANCE,1 COLLEGE DR,EAST PEORIA,IL,201,SW,ADAMS,ST,201 SW ADAMS ST,PEORIA,IL,61602,123, ,COMMUNITY COLLEGE DISTRICT #514,1,102
1959,1809258016,1809258016, ,ILLINOIS MUTUAL LIFE & CASUALTY COMPANY,300 SW ADAMS ST, ,PEORIA,IL,301,SW,WASHINGTON,ST,301 SW WASHINGTON ST,PEORIA,IL,61602,44, ,ILLINOIS MUTUAL LIFE & CASUALTY COMPANY,1,102
1961,1809280005,1809280005, ,CITY OF PEORIA,419 FULTON ST, ,PEORIA,IL,110,SW,WATER,ST,110 SW WATER ST,PEORIA,IL,61602,27, ,CITY OF PEORIA,1,102
1962,1809260019,1809260019, ,124 ADAMS PROPERTY HOLDINGS LLC,800 NE GLEN OAK AVENUE, ,PEORIA,IL,124,SW,ADAMS,ST,124 SW ADAMS ST,PEORIA,IL,61602,123, ,124 ADAMS PROPERTY HOLDINGS LLC,1,102
1963,1809251010,1809251010, ,CITY OF PEORIA,419 FULTON ST, ,PEORIA,IL,419, ,FULTON,ST,419 FULTON ST,PEORIA,IL,61602,123, ,CITY OF PEORIA,1,102
1964,1809256002,1809256002, ,AMERITECH-IL,ATTN TAX DEPARTMENT,225 W RANDOLPH RM 26C,CHICAGO,IL,320, ,FULTON,ST,320 FULTON ST,PEORIA,IL,61602,123, ,AMERITECH-IL,1,102
1965,1809256028,1809256028, ,PUBLIC BUILDING COMMISSION OF PEORIA,411 HAMILTON BLVD SUITE 1924, ,PEORIA,IL,111,SW,ADAMS,ST,111 SW ADAMS ST,PEORIA,IL,61602,123, ,PUBLIC BUILDING COMMISSION OF PEORIA,1,102
1966,1809206016,1809206016, ,PERE MARQUETTE HOTEL LLC,450 N MAIN ST, ,EAST PEORIA,IL,128,SW,MONROE,ST,128 SW MONROE ST,PEORIA,IL,61602,46, ,PERE MARQUETTE HOTEL LLC,1,102
117,1809128010,1809128010, ,MTR REALTY LLC,ATTN MICHAEL A LANDWIRTH,7625 N UNIVERSITY ST SUITE C,PEORIA,IL,706,N,WILLIAM KUMPF,BLVD,706 N WILLIAM KUMPF BLVD,PEORIA,IL,61602,46, ,MTR REALTY LLC,1,103
552,1809201001,1809201001, ,MP STREET PROPERTY LLC,611 SW WASHINGTON ST, ,PEORIA,IL,701, ,MAIN,ST,701 MAIN ST,PEORIA,IL,61602,46, ,MP STREET PROPERTY LLC,1,103
554,1804377009,1804377009, ,MP STREET PROPERTY LLC,611 SW WASHINGTON ST, ,PEORIA,IL,711,W,MAIN,ST,711 W MAIN ST,PEORIA,IL,61602,46, ,MP STREET PROPERTY LLC,1,103
555,1804377008,1804377008, ,EVONA M NELSON TRUST,C/O EVONA M NELSON,7924 N GALENA RD,PEORIA,IL,814,N,WILLIAM KUMPF,BLVD,814 N WILLIAM KUMPF BLVD,PEORIA,IL,61605,46, ,EVONA M NELSON TRUST,1,103
679,1809126005,1809126005, ,ZION BAPTIST CHURCH,323 W DR MARTIN LUTHER KING JR DR, ,PEORIA,IL,321,W,MARTIN LUTHER KING JR,DR,321 W MARTIN LUTHER KING JR DR,PEORIA,IL,61605,1, ,ZION BAPTIST CHURCH,1,103
681,1804352013,1804352013, ,LANDMARK APARTMENTS ASSOCIATES,666 DUNDEE RD SUITE 1703, ,NORTHBROOK,IL,501,W,MARTIN LUTHER KING JR,DR,501 W MARTIN LUTHER KING JR DR,PEORIA,IL,61605,1, ,LANDMARK APARTMENTS ASSOCIATES,1,103
682,1804376070,1804376070, ,UNIVERSITY OF ILLINOIS FOUNDATION,"1305 W GREEN ST,  MC 386", ,URBANA,IL,411,W,MARTIN LUTHER KING JR,DR,411 W MARTIN LUTHER KING JR DR,PEORIA,IL,61605,1, ,UNIVERSITY OF ILLINOIS FOUNDATION,1,103
683,1804376069,1804376069, ,UNIVERSITY OF ILLINOIS PEORIA SCHOOL OF MEDICINE,C/O UNIVERSITY OF ILLINOIS AT CHICAGO,809 S MARSHFIELD AVE ROOM 606,CHICAGO,IL,1, ,ILLINI,DR,1 ILLINI DR,PEORIA,IL,61602,1, ,UNIVERSITY OF ILLINOIS PEORIA SCHOOL OF MEDICINE,1,103
692,1804376060,1804376060, ,CONVERSE FAMILY LIMITED PARTNERSHIP,1125 MAIN ST, ,PEORIA,IL,1125, ,MAIN,ST,1125 MAIN ST,PEORIA,IL,61606,1, ,CONVERSE FAMILY LIMITED PARTNERSHIP,1,103
695,1804376010,1804376010, ,IMC FOURTH FLOOR LLC,1001 MAIN ST SUITE 300, ,PEORIA,IL,1101, ,MAIN,ST,1101 MAIN ST,PEORIA,IL,61606,1, ,IMC FOURTH FLOOR LLC,1,103
696,1804376009,1804376009, ,IMC FOURTH FLOOR LLC,1001 MAIN ST SUITE 300, ,PEORIA,IL,1111, ,MAIN,ST,1111 MAIN ST,PEORIA,IL,61606,1, ,IMC FOURTH FLOOR LLC,1,103
733,1809178014,1809178014, ,CULLINAN KUMPF MEDICAL LLC,C/O CULLINAN PROPERTIES LTD,420 N MAIN ST,EAST PEORIA,IL,303,N,WILLIAM KUMPF,BLVD,303 N WILLIAM KUMPF BLVD,PEORIA,IL,61605,1, ,CULLINAN KUMPF MEDICAL LLC,1,103
736,1809132014,1809132014, ,ERNEST ROSE HOLDINGS LLC,P O BOX 9665, ,PEORIA,IL,209,W,ROMEO B GARRETT,AVE,209 W ROMEO B GARRETT AVE,PEORIA,IL,61605,1, ,ERNEST ROSE HOLDINGS LLC,1,103
1931,1804377003,1804377003, ,"VILBERG, BEVERLY",618 RAVINSWOODS RD, ,PEORIA,IL,735, ,MAIN,ST,735 MAIN ST,PEORIA,IL,61602,1,BEVERLY,VILBERG,1,103
1994,1804376069,1804376069, ,UNIVERSITY OF ILLINOIS PEORIA SCHOOL OF MEDICINE,C/O UNIVERSITY OF ILLINOIS AT CHICAGO,809 S MARSHFIELD AVE ROOM 606,CHICAGO,IL,1, ,ILLINI,DR,1 ILLINI DR,PEORIA,IL,61602,1, ,UNIVERSITY OF ILLINOIS PEORIA SCHOOL OF MEDICINE,1,103
1995,1804376063,1804376063, ,U OF I SCHOOL OF MED,C/O METHODIST SERVICES INC,221 NE GLEN OAK AVE,PEORIA,IL, , , , , , , , ,1, ,U OF I SCHOOL OF MED,1,103
1996,1809131025,1809131025,A,"PLATTNER, CRAIG A",2824 N TAYLOR RD, ,HANNA CITY,IL,311,W,ROMEO B GARRETT,AVE,311 W ROMEO B GARRETT AVE,PEORIA,IL,61605,1,CRAIG,PLATTNER,1,103
1998,1809136016,1809136016, ,FIRST CAPITAL BANK,6699 N SHERIDAN RD, ,PEORIA,IL,405,N,WILLIAM KUMPF,BLVD,405 N WILLIAM KUMPF BLVD,PEORIA,IL,61605,1, ,FIRST CAPITAL BANK,1,103
1999,1809134013,1809134013, ,LD1 IL PEORIA SBS LLC,5314 N RIVER RUN DR SUITE 310, ,PROVO,UT,300,W,ROMEO B GARRETT,AVE,300 W ROMEO B GARRETT AVE,PEORIA,IL,61605,1, ,LD1 IL PEORIA SBS LLC,1,103
2000,1809134013,1809134013, ,LD1 IL PEORIA SBS LLC,5314 N RIVER RUN DR SUITE 310, ,PROVO,UT,300,W,ROMEO B GARRETT,AVE,300 W ROMEO B GARRETT AVE,PEORIA,IL,61605,1, ,LD1 IL PEORIA SBS LLC,1,103
458,1809280011,1809280011, ,CITY OF PEORIA,419 FULTON ST, ,PEORIA,IL, ,SW,WATER,ST,SW WATER ST,PEORIA,IL,61602,123, ,CITY OF PEORIA,1,104
547,1809227010,1809227010, ,INTELLISUITES OF PEORIA-MADISON LLC,400 E OHIO ST #2101, ,CHICAGO,IL,234,NE,MADISON,AVE,234 NE MADISON AVE,PEORIA,IL,61602,46, ,INTELLISUITES OF PEORIA-MADISON LLC,1,104
577,1809280011,1809280011, ,CITY OF PEORIA,419 FULTON ST, ,PEORIA,IL, ,SW,WATER,ST,SW WATER ST,PEORIA,IL,61602,123, ,CITY OF PEORIA,1,104
582,1809210008,1809210008, ,LEISY BREWING COMPANY,1314 E MARIETTA AVE, ,PEORIA HEIGHTS,IL,420, ,MAIN,ST,420 MAIN ST,PEORIA,IL,61602,123, ,LEISY BREWING COMPANY,1,104
583,1809231007,1809231007, ,HUMAN SERVICE CENTER FOUNDATION,P O BOX 1346, ,PEORIA,IL,228,NE,JEFFERSON,AVE,228 NE JEFFERSON AVE,PEORIA,IL,61602,46, ,HUMAN SERVICE CENTER FOUNDATION,1,104
584,1809227004,1809227004, ,PRESIDENTS PLACE LTD,414 HAMILTON BLVD, ,PEORIA,IL,414, ,HAMILTON,BV,414 HAMILTON BV,PEORIA,IL,61602,46, ,PRESIDENTS PLACE LTD,1,104
585,1809227017,1809227017, ,SOUTH SIDE TRUST & SAVINGS BANK,2119 SW ADAMS ST, ,PEORIA,IL,414, ,HAMILTON,BLVD,414 HAMILTON BLVD,PEORIA,IL,61602,46, ,SOUTH SIDE TRUST & SAVINGS BANK,1,104
586,1809227013,1809227013, ,QJHP BUILDING LLC,ATTN NANCY R HONINGS,227 NE JEFFESON AVE,PEORIA,IL,227,NE,JEFFERSON,AVE,227 NE JEFFERSON AVE,PEORIA,IL,61603,46, ,QJHP BUILDING LLC,1,104
587,1809227002,1809227002, ,CENTRAL ILLINOIS LANDMARKS FOUNDATION,P O BOX 495, ,PEORIA,IL,416, ,HAMILTON,BV,416 HAMILTON BV,PEORIA,IL,61602,46, ,CENTRAL ILLINOIS LANDMARKS FOUNDATION,1,104
1301,1809227007,1809227007, ,MKJEA PROPERTIES LLC,1306 W WEXFORD PL, ,PEORIA,IL,206,NE,MADISON,AVE,206 NE MADISON AVE,PEORIA,IL,61602,46, ,MKJEA PROPERTIES LLC,1,104
1876,1809280011,1809280011, ,CITY OF PEORIA,419 FULTON ST, ,PEORIA,IL, ,SW,WATER,ST,SW WATER ST,PEORIA,IL,61602,123, ,CITY OF PEORIA,1,104
1922,1809208007,1809208007, ,GRANDVIEW LODGING INC,1601 N ROOSEVELT AVE, ,BURLINGTON,IA,500, ,HAMILTON,BLVD,500 HAMILTON BLVD,PEORIA,IL,61602,46, ,GRANDVIEW LODGING INC,1,104
1923,1809208006,1809208006, ,PRINCIPAL SECURITIES LLC,2267 N CLYBOURNE AVE, ,CHICAGO,IL,222,NE,MONROE,ST,222 NE MONROE ST,PEORIA,IL,61602,46, ,PRINCIPAL SECURITIES LLC,1,104
1941,1809231015,1809231015, ,SARTI SANDMAN SACRAMENTO LP,225 NE ADAMS ST, ,PEORIA,IL,225,NE,ADAMS,ST,225 NE ADAMS ST,PEORIA,IL,61602,46, ,SARTI SANDMAN SACRAMENTO LP,1,104
1949,1809210006,1809210006, ,GEORGE & DEBORAH REFEINSTEIN LIVING TRUST 11-7-11,C/O GEORGE H & DEBORAH REIFENSTEIN,4202 AUKE LN,JUNEAU,AK,111,NE,JEFFERSON,AVE,111 NE JEFFERSON AVE,PEORIA,IL,61602,123, ,GEORGE & DEBORAH REFEINSTEIN LIVING TRUST 11-7-11,1,104
1950,1809277001,1809277001, ,CATERPILLAR INC,ATTN CORPORATE TAX,100 NE ADAMS ST,PEORIA,IL,100,NE,WASHINGTON,ST,100 NE WASHINGTON ST,PEORIA,IL,61602,123, ,CATERPILLAR INC,1,104
1967,1809207006,1809207006, ,COMFORT LAND TRUST,2021 E BISHOP AVE, ,PEORIA,IL,500, ,MAIN,ST,500 MAIN ST,PEORIA,IL,61602,46, ,COMFORT LAND TRUST,1,104
1968,1809231012,1809231012, ,CATERPILLAR INC,ATTN CORPORATE REAL ESTATE MANAGER,120 NE ADAMS ST,PEORIA,IL,300, ,HAMILTON,BLVD,300 HAMILTON BLVD,PEORIA,IL,61602,123, ,CATERPILLAR INC,1,104
1969,1809227005,1809227005, ,PRESIDENTS PLACE LTD,414 HAMILTON BLVD, ,PEORIA,IL,203,NE,JEFFERSON,AVE,203 NE JEFFERSON AVE,PEORIA,IL,61603,46, ,PRESIDENTS PLACE LTD,1,104
1970,1809227018,1809227018, ,SOUTH SIDE OFFICE OF CONCERN,202 NE MADISON AVE, ,PEORIA,IL,202,NE,MADISON,AVE,202 NE MADISON AVE,PEORIA,IL,61602,46, ,SOUTH SIDE OFFICE OF CONCERN,1,104
1971,1809235004,1809235004,L,"VESPA, NANCEE L",202 HAMILTON BLVD, ,PEORIA,IL,202, ,HAMILTON,BLVD,202 HAMILTON BLVD,PEORIA,IL,61602,123,NANCEE,VESPA,1,104
113,1804379018,1804379018, ,"WATERS, TERRY",METHODIST SERVICES INC,221 NE GLEN OAK AVE,PEORIA,IL,900, ,MAIN,ST,900 MAIN ST,PEORIA,IL,61602,1,TERRY,WATERS,1,105
116,1804379017,1804379017, ,METHODIST SERVICES INC,120 NE GLEN OAK AVE, ,PEORIA,IL,909, ,HAMILTON,BV,909 HAMILTON BV,PEORIA,IL,61603,1, ,METHODIST SERVICES INC,1,105
557,1804453004,1804453004, ,FIRST UNITED METHODIST CHURCH OF PEORIA IL,116 NW PERRY AVE, ,PEORIA,IL,700, ,MAIN,ST,700 MAIN ST,PEORIA,IL,61602,1, ,FIRST UNITED METHODIST CHURCH OF PEORIA IL,1,105
559,1804454003,1804454003, ,CENTRAL ILLINOIS AGENCY ON AGING INC,700 HAMILTON BLVD, ,PEORIA,IL,700, ,HAMILTON,BV,700 HAMILTON BV,PEORIA,IL,61603,1, ,CENTRAL ILLINOIS AGENCY ON AGING INC,1,105
560,1804454004,1804454004, ,DENTAL ARTS LABARATORY INC,216 NE PERRY AVE, ,PEORIA,IL,203,NE,PERRY,AVE,203 NE PERRY AVE,PEORIA,IL,61603,1, ,DENTAL ARTS LABARATORY INC,1,105
561,1804454005,1804454005, ,DENTAL ARTS LABORATORY INC,241 NE PERRY AVE, ,PEORIA,IL,207,NE,PERRY,AVE,207 NE PERRY AVE,PEORIA,IL,61603,1, ,DENTAL ARTS LABORATORY INC,1,105
562,1804454008,1804454008, ,245 PERRY LLC,245 NE PERRY AVE, ,PEORIA,IL,245,NE,PERRY,AVE,245 NE PERRY AVE,PEORIA,IL,61603,1, ,245 PERRY LLC,1,105
563,1804454006,1804454006, ,DENTAL ARTS LAB,P O BOX 508,241 NE PERRY AVE,PEORIA,IL,241,NE,PERRY,AVE,241 NE PERRY AVE,PEORIA,IL,61603,1, ,DENTAL ARTS LAB,1,105
564,1804454007,1804454007, ,245 PERRY LLC,245 NE PERRY AVE, ,PEORIA,IL,703,W,FAYETTE,ST,703 W FAYETTE ST,PEORIA,IL,61602,1, ,245 PERRY LLC,1,105
565,1804454011,1804454011, ,COLGIN & KNUEPPEL ENTERPRISES LLC,216 NE PERRY AVE, ,PEORIA,IL,705,W,FAYETTE,ST,705 W FAYETTE ST,PEORIA,IL,61603,1, ,COLGIN & KNUEPPEL ENTERPRISES LLC,1,105
567,1804454009,1804454009, ,DREAM CENTER OF PEORIA,714 HAMILTON BLVD, ,PEORIA,IL,714, ,HAMILTON,BLVD,714 HAMILTON BLVD,PEORIA,IL,61603,1, ,DREAM CENTER OF PEORIA,1,105
687,1804379001,1804379001, ,GLEN OAKS LP,1949 ST JOHNS AVE #200, ,HIGHLAND PARK,IL,916, ,MAIN,ST,916 MAIN ST,PEORIA,IL,61606,1, ,GLEN OAKS LP,1,105
693,1804379016,1804379016, ,METHODIST SERVICES INC,PO BOX 87, ,PEORIA,IL,120,NE,GLEN OAK,AVE,120 NE GLEN OAK AVE,PEORIA,IL,61603,1, ,METHODIST SERVICES INC,1,105
714,1804327001,1804327001, ,OSF HEALTHCARE SYSTEM,C/O REGIONAL PROPERTY MANAGER,800 NE GLEN OAK AVE,PEORIA,IL,100,NE,RANDOLPH,AVE,100 NE RANDOLPH AVE,PEORIA,IL,61606,1, ,OSF HEALTHCARE SYSTEM,1,105
1915,1804458003,1804458003, ,FIRST UNITED METHODIST CHURCH OF PEORIA IL INC,116 NE PERRY AVE, ,PEORIA,IL,116,NE,PERRY,AVE,116 NE PERRY AVE,PEORIA,IL,61603,1, ,FIRST UNITED METHODIST CHURCH OF PEORIA IL INC,1,105
1924,1804459001,1804459001,J,"HOERDEMANN, FRANCIS J",1803 W HIGH STREET, ,PEORIA,IL,612, ,HAMILTON,BV,612 HAMILTON BV,PEORIA,IL,61602,1,FRANCIS,HOERDEMANN,1,105
1925,1804459002,1804459002, ,COLGIN & KNUEPPEL ENTERPRISES LLC,216 NE PERRY AVE, ,PEORIA,IL,204,NE,PERRY,AVE,204 NE PERRY AVE,PEORIA,IL,61603,1, ,COLGIN & KNUEPPEL ENTERPRISES LLC,1,105
1926,1804459003,1804459003, ,COLGIN & KNUEPPEL ENTERPRISES LLC,216 NE PERRY AVE, ,PEORIA,IL,208,NE,PERRY,AVE,208 NE PERRY AVE,PEORIA,IL,61603,1, ,COLGIN & KNUEPPEL ENTERPRISES LLC,1,105
1927,1804459010,1804459010, ,RIVERSIDE COMMUNITY CHRUCH,C/O JOHN KING,207 NE MONROE ST,PEORIA,IL,207,NE,MONROE,ST,207 NE MONROE ST,PEORIA,IL,61602,1, ,RIVERSIDE COMMUNITY CHRUCH,1,105
1928,1804459014,1804459014, ,DUROC LLC,1230 W MOSS AVE, ,PEORIA,IL,237,NE,MONROE,ST,237 NE MONROE ST,PEORIA,IL,61602,1, ,DUROC LLC,1,105
1929,1804459005,1804459005, ,COLGIN & KNUEPPEL ENTERPRISES LLC,216 NE PERRY AVE, ,PEORIA,IL,216,NE,PERRY,AVE,216 NE PERRY AVE,PEORIA,IL,61603,1, ,COLGIN & KNUEPPEL ENTERPRISES LLC,1,105
1930,1809203013,1809203013, ,PEORIA PUBLIC LIBRARY,107 NE MONROE AVE, ,PEORIA,IL,107,NE,MONROE,ST,107 NE MONROE ST,PEORIA,IL,61602,1, ,PEORIA PUBLIC LIBRARY,1,105
1932,1804382003,1804382003, ,KICKAPOO BUILDING LLC,1916 W MANOR PARKWAY, ,WEST PEORIA,IL,726,W,MAIN,ST,726 W MAIN ST,PEORIA,IL,61602,1, ,KICKAPOO BUILDING LLC,1,105
1933,1804453006,1804453006, ,FIRST UNITED METHODIST CHURCH OF PEORIA,116 NE PERRY AVE, ,PEORIA,IL,111,NE,PERRY,AVE,111 NE PERRY AVE,PEORIA,IL,61603,1, ,FIRST UNITED METHODIST CHURCH OF PEORIA,1,105
2263,1804331006,1804331006, ,METHODIST MEDICAL CENTER OF ILLINOIS,221 NE GLEN OAK AVE, ,PEORIA,IL,221,NE,GLEN OAK,AVE,221 NE GLEN OAK AVE,PEORIA,IL,61603,1, ,METHODIST MEDICAL CENTER OF ILLINOIS,1,105
3140,1804378020,1804378020, ,METHODIST SERVICES INC,P O BOX 87, ,PEORIA,IL,112,NE,CRESCENT,AVE,112 NE CRESCENT AVE,PEORIA,IL,61606,1, ,METHODIST SERVICES INC,1,105
118,1809228002,1809228002, ,NEW HOPE LIMITED PARTNERSHIP,100 S RICHARD PRYOR PL, ,PEORIA,IL,301,NE,JEFFERSON,AVE,301 NE JEFFERSON AVE,PEORIA,IL,61602,120, ,NEW HOPE LIMITED PARTNERSHIP,1,106
459,1809279001,1809279001, ,CITY OF PEORIA,419 FULTON ST, ,PEORIA,IL,101,S,EATON,AVE,101 S EATON AVE,PEORIA,IL,61602,38, ,CITY OF PEORIA,1,106
548,1809228001,1809228001, ,WAITE FOSTER PROPERTIES LLC,"ATTN JOSHUA T WAITE, MANAGER",516 HIGH POINT PLACE,PEORIA,IL,410,W,FAYETTE,ST,410 W FAYETTE ST,PEORIA,IL,61602,120, ,WAITE FOSTER PROPERTIES LLC,1,106
551,1809226001,1809226001, ,PEORIA WOMENS CLUB,301 NE MADISON AVE, ,PEORIA,IL,301,NE,MADISON,AVE,301 NE MADISON AVE,PEORIA,IL,61603,120, ,PEORIA WOMENS CLUB,1,106
553,1804462004,1804462004,D,"KNELL, CHARLES D",4815 N GRANDVIEW DR, ,PEORIA HEIGHTS,IL,504,W,FAYETTE,ST,504 W FAYETTE ST,PEORIA,IL,61602,120,CHARLES,KNELL,1,106
